B_IWATSU,Pcv_IWATSU,B_Meas,Pcv_Meas
0.019989,24.846,0.019936,20.68
0.02502,40.022,0.024996,35.454
0.029603,57.374,0.03001,51.917
0.034924,82.053,0.034867,72.154
0.040083,110.74,0.039862,96.806
0.045138,144.42,0.044858,125.8
0.050046,180.2,0.050106,159.59
0.055072,224.52,0.055041,197.34
0.060326,271.43,0.060084,239.41
0.065241,327.47,0.065127,285.69
0.06986,386.07,0.070228,347.04
0.073915,437.79,0.075235,402.2
0.080268,524.66,0.080255,461.43
0.085205,601.54,0.085248,524.69
0.090419,682.01,0.090268,598.1
0.095386,766.8,0.095255,670.09
0.1003,854.49,0.1001,744.14
0.1254,1397.3,0.1253,1210.6
0.148,1997.9,0.1497,1764.5
0.1748,2838.1,0.1746,2412.5
0.1999,3772.7,0.1995,3176.2
